CYLINDER						
a (deg)	CL	CD	CM	CL	CD	CM
178.00	0.000	0.600	0.000	0.000	0.600	0.000
179.00	0.000	0.600	0.000	0.000	0.600	0.000
180.00	0.000	0.600	0.000	0.000	0.600	0.000
						
						
t/c=0.60						
a (deg)	CL	CD	CM	CL	CD	CM
-180.00	0.000	0.000	0.000	0.000	0.000	0.000
-175.00	0.174	0.010	0.022	0.174	0.010	0.022
-170.00	0.342	0.039	0.043	0.342	0.039	0.043
-165.00	0.500	0.087	0.065	0.500	0.087	0.065
-160.00	0.643	0.152	0.086	0.643	0.152	0.086
-155.00	0.766	0.232	0.106	0.766	0.232	0.106
-150.00	0.866	0.325	0.125	0.866	0.325	0.125
-145.00	0.940	0.428	0.143	0.940	0.428	0.143
-140.00	0.985	0.537	0.161	0.985	0.537	0.161
-135.00	1.000	0.650	0.177	1.000	0.650	0.177
-130.00	0.985	0.763	0.192	0.985	0.763	0.192
-125.00	0.940	0.872	0.205	0.940	0.872	0.205
-120.00	0.866	0.975	0.217	0.866	0.975	0.217
-115.00	0.766	1.068	0.227	0.766	1.068	0.227
-110.00	0.643	1.148	0.235	0.643	1.148	0.235
-105.00	0.500	1.213	0.242	0.500	1.213	0.242
-100.00	0.342	1.261	0.246	0.342	1.261	0.246
-95.00	0.174	1.290	0.249	0.174	1.290	0.249
-90.00	0.000	1.300	0.250	0.000	1.300	0.250
-85.00	-0.174	1.290	0.249	-0.174	1.290	0.249
-80.00	-0.342	1.261	0.246	-0.342	1.261	0.246
-75.00	-0.500	1.213	0.242	-0.500	1.213	0.242
-70.00	-0.643	1.148	0.235	-0.643	1.148	0.235
-65.00	-0.766	1.068	0.227	-0.766	1.068	0.227
-60.00	-0.866	0.975	0.217	-0.866	0.975	0.217
-55.00	-0.940	0.872	0.198	-0.940	0.872	0.198
-50.00	-0.985	0.763	0.178	-0.985	0.763	0.178
-45.00	-1.000	0.650	0.149	-1.000	0.650	0.149
-40.00	-0.952	0.528	0.118	-0.952	0.528	0.118
-39.00	-0.904	0.503	0.108	-0.904	0.503	0.108
-38.00	-0.826	0.467	0.091	-0.826	0.467	0.091
-37.00	-0.719	0.435	0.081	-0.719	0.435	0.081
-36.00	-0.621	0.399	0.067	-0.621	0.399	0.067
-35.00	-0.523	0.363	0.060	-0.523	0.363	0.060
-34.00	-0.445	0.328	0.052	-0.445	0.328	0.052
-33.00	-0.348	0.301	0.045	-0.348	0.301	0.045
-32.00	-0.257	0.273	0.047	-0.257	0.273	0.047
-30.00	-0.157	0.233	0.061	-0.157	0.233	0.061
-28.00	-0.078	0.203	0.074	-0.078	0.203	0.074
-26.00	0.012	0.186	0.087	0.012	0.186	0.087
-24.00	0.101	0.168	0.101	0.101	0.168	0.101
-22.00	0.196	0.153	0.113	0.196	0.153	0.113
-20.00	0.292	0.137	0.126	0.292	0.137	0.126
-18.00	0.393	0.124	0.137	0.393	0.124	0.137
-16.00	0.495	0.111	0.148	0.495	0.111	0.148
-14.00	0.600	0.101	0.157	0.600	0.101	0.157
-12.00	0.706	0.091	0.166	0.706	0.091	0.166
-10.00	0.788	0.084	0.168	0.788	0.084	0.168
-8.00	0.870	0.077	0.169	0.870	0.077	0.169
-6.00	0.836	0.075	-0.147	0.836	0.075	-0.147
-4.00	0.816	0.073	-0.126	0.816	0.073	-0.126
-2.00	0.660	0.076	-0.088	0.660	0.076	-0.088
0.00	0.520	0.078	-0.051	0.520	0.078	-0.051
2.00	0.264	0.078	-0.001	0.264	0.078	-0.001
4.00	-0.091	0.071	0.070	-0.091	0.071	0.070
6.00	0.166	0.075	0.020	0.166	0.075	0.020
8.00	0.448	0.086	-0.027	0.448	0.086	-0.027
10.00	0.707	0.100	-0.067	0.707	0.100	-0.067
12.00	0.954	0.111	-0.103	0.954	0.111	-0.103
14.00	1.189	0.121	-0.137	1.189	0.121	-0.137
16.00	1.418	0.137	-0.169	1.418	0.137	-0.169
18.00	1.639	0.150	-0.199	1.639	0.150	-0.199
20.00	1.822	0.169	-0.225	1.822	0.169	-0.225
22.00	1.984	0.207	-0.251	1.984	0.207	-0.251
24.00	2.099	0.309	-0.275	2.099	0.309	-0.275
26.00	2.190	0.434	-0.297	2.190	0.434	-0.297
28.00	2.254	0.551	-0.317	2.254	0.551	-0.317
30.00	2.273	0.673	-0.334	2.273	0.673	-0.334
32.00	2.274	0.776	-0.349	2.274	0.776	-0.349
33.00	2.278	0.821	-0.347	2.278	0.821	-0.347
34.00	2.266	0.855	-0.348	2.266	0.855	-0.348
35.00	2.241	0.886	-0.349	2.241	0.886	-0.349
36.00	2.233	0.914	-0.343	2.233	0.914	-0.343
37.00	2.213	0.939	-0.337	2.213	0.939	-0.337
38.00	2.182	0.971	-0.331	2.182	0.971	-0.331
39.00	2.139	1.000	-0.324	2.139	1.000	-0.324
40.00	2.095	1.025	-0.318	2.095	1.025	-0.318
45.00	1.837	1.142	-0.300	1.837	1.142	-0.300
50.00	1.516	1.162	-0.291	1.516	1.162	-0.291
55.00	1.201	1.166	-0.282	1.201	1.166	-0.282
60.00	0.966	1.175	-0.274	0.966	1.175	-0.274
65.00	0.766	1.178	-0.264	0.766	1.178	-0.264
70.00	0.643	1.198	-0.255	0.643	1.198	-0.255
75.00	0.500	1.213	-0.252	0.500	1.213	-0.252
80.00	0.342	1.261	-0.246	0.342	1.261	-0.246
85.00	0.174	1.290	-0.249	0.174	1.290	-0.249
90.00	0.000	1.300	-0.250	0.000	1.300	-0.250
95.00	-0.174	1.290	-0.249	-0.174	1.290	-0.249
100.00	-0.342	1.261	-0.246	-0.342	1.261	-0.246
105.00	-0.500	1.213	-0.242	-0.500	1.213	-0.242
110.00	-0.643	1.148	-0.235	-0.643	1.148	-0.235
115.00	-0.766	1.068	-0.227	-0.766	1.068	-0.227
120.00	-0.866	0.975	-0.217	-0.866	0.975	-0.217
125.00	-0.940	0.872	-0.205	-0.940	0.872	-0.205
130.00	-0.985	0.763	-0.192	-0.985	0.763	-0.192
135.00	-1.000	0.650	-0.177	-1.000	0.650	-0.177
140.00	-0.985	0.537	-0.161	-0.985	0.537	-0.161
145.00	-0.940	0.428	-0.143	-0.940	0.428	-0.143
150.00	-0.866	0.325	-0.125	-0.866	0.325	-0.125
155.00	-0.766	0.232	-0.106	-0.766	0.232	-0.106
160.00	-0.643	0.152	-0.086	-0.643	0.152	-0.086
165.00	-0.500	0.087	-0.065	-0.500	0.087	-0.065
170.00	-0.342	0.039	-0.043	-0.342	0.039	-0.043
175.00	-0.174	0.010	-0.022	-0.174	0.010	-0.022
180.00	0.000	0.000	0.000	0.000	0.000	0.000
						
						
t/c=0.48						
a (deg)	CL	CD	CM	CL	CD	CM
-180.00	0.000	0.000	0.000	0.000	0.000	0.000
-175.00	0.174	0.010	0.022	0.174	0.010	0.022
-170.00	0.342	0.039	0.043	0.342	0.039	0.043
-165.00	0.500	0.087	0.065	0.500	0.087	0.065
-160.00	0.643	0.152	0.086	0.643	0.152	0.086
-155.00	0.766	0.232	0.106	0.766	0.232	0.106
-150.00	0.866	0.325	0.125	0.866	0.325	0.125
-145.00	0.940	0.428	0.143	0.940	0.428	0.143
-140.00	0.985	0.537	0.161	0.985	0.537	0.161
-135.00	1.000	0.650	0.177	1.000	0.650	0.177
-130.00	0.985	0.763	0.192	0.985	0.763	0.192
-125.00	0.940	0.872	0.205	0.940	0.872	0.205
-120.00	0.866	0.975	0.217	0.866	0.975	0.217
-115.00	0.766	1.068	0.227	0.766	1.068	0.227
-110.00	0.643	1.148	0.235	0.643	1.148	0.235
-105.00	0.500	1.213	0.242	0.500	1.213	0.242
-100.00	0.342	1.261	0.246	0.342	1.261	0.246
-95.00	0.174	1.290	0.249	0.174	1.290	0.249
-90.00	0.000	1.300	0.250	0.000	1.300	0.250
-85.00	-0.174	1.290	0.249	-0.174	1.290	0.249
-80.00	-0.342	1.261	0.246	-0.342	1.261	0.246
-75.00	-0.500	1.213	0.242	-0.500	1.213	0.242
-70.00	-0.643	1.148	0.235	-0.643	1.148	0.235
-65.00	-0.766	1.068	0.227	-0.766	1.068	0.227
-60.00	-0.866	0.975	0.217	-0.866	0.975	0.217
-55.00	-0.940	0.872	0.198	-0.940	0.872	0.198
-50.00	-0.985	0.763	0.178	-0.985	0.763	0.178
-45.00	-1.000	0.650	0.156	-1.000	0.650	0.156
-40.00	-0.982	0.535	0.125	-0.982	0.535	0.125
-39.00	-0.954	0.514	0.111	-0.954	0.514	0.111
-38.00	-0.926	0.485	0.097	-0.926	0.485	0.097
-37.00	-0.889	0.457	0.083	-0.889	0.457	0.083
-36.00	-0.851	0.428	0.066	-0.851	0.428	0.066
-35.00	-0.823	0.392	0.059	-0.823	0.392	0.059
-34.00	-0.785	0.364	0.048	-0.785	0.364	0.048
-33.00	-0.748	0.338	0.038	-0.748	0.338	0.038
-32.00	-0.701	0.312	0.031	-0.701	0.312	0.031
-30.00	-0.621	0.266	0.020	-0.621	0.266	0.020
-28.00	-0.541	0.240	0.009	-0.541	0.240	0.009
-26.00	-0.469	0.217	-0.001	-0.469	0.217	-0.001
-24.00	-0.388	0.194	-0.011	-0.388	0.194	-0.011
-22.00	-0.316	0.173	-0.020	-0.316	0.173	-0.020
-20.00	-0.244	0.153	-0.029	-0.244	0.153	-0.029
-18.00	-0.164	0.136	-0.037	-0.164	0.136	-0.037
-16.00	-0.084	0.118	-0.045	-0.084	0.118	-0.045
-14.00	0.002	0.104	-0.051	0.002	0.104	-0.051
-12.00	0.088	0.089	-0.057	0.088	0.089	-0.057
-10.00	0.172	0.077	-0.060	0.172	0.077	-0.060
-8.00	0.256	0.066	-0.064	0.256	0.066	-0.064
-6.00	0.318	0.056	-0.061	0.318	0.056	-0.061
-4.00	0.380	0.047	-0.057	0.380	0.047	-0.057
-2.00	0.357	0.041	-0.035	0.357	0.041	-0.035
0.00	0.335	0.034	-0.013	0.335	0.034	-0.013
2.00	0.565	0.032	-0.049	0.565	0.032	-0.049
4.00	0.877	0.034	-0.089	0.877	0.034	-0.089
6.00	1.043	0.045	-0.112	1.043	0.045	-0.112
8.00	0.949	0.070	-0.121	0.949	0.070	-0.121
10.00	0.909	0.089	-0.138	0.909	0.089	-0.138
12.00	0.976	0.099	-0.159	0.976	0.099	-0.159
14.00	1.113	0.107	-0.182	1.113	0.107	-0.182
16.00	1.307	0.116	-0.207	1.307	0.116	-0.207
